ID,Name,BCDCCollection,BossDBURI,Description,ArchiveURL,Creator,DateCreated,ChannelType,DataType,Public,Contributors,License
s05_WM_fits06_090nm_1_,s05_WM_fits06_090nm_1_,ABC147,bossdb://lee2022/s05_WM_fits06_090nm_1_/s05_WM_fits06_090nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s06_topm200um_fits05_090nm_1_,s06_topm200um_fits05_090nm_1_,ABC148,bossdb://lee2022/s06_topm200um_fits05_090nm_1_/s06_topm200um_fits05_090nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,Unit9,False,Pending,CC-BY 4.0
s18_WM_090nm_good_,s18_WM_090nm_good_,ABC149,bossdb://lee2022/s18_WM_090nm_good_/s18_WM_090nm_good_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_WM_090nm_good_1_,s18_WM_090nm_good_1_,ABC150,bossdb://lee2022/s18_WM_090nm_good_1_/s18_WM_090nm_good_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_fits06_090nm_2_,s05_WM_fits06_090nm_2_,ABC151,bossdb://lee2022/s05_WM_fits06_090nm_2_/s05_WM_fits06_090nm_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_WM_090nm_good_2_,s18_WM_090nm_good_2_,ABC152,bossdb://lee2022/s18_WM_090nm_good_2_/s18_WM_090nm_good_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_fits06_090nm_3_,s05_WM_fits06_090nm_3_,ABC153,bossdb://lee2022/s05_WM_fits06_090nm_3_/s05_WM_fits06_090nm_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_WM_090nm_good_3_,s18_WM_090nm_good_3_,ABC154,bossdb://lee2022/s18_WM_090nm_good_3_/s18_WM_090nm_good_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_WM_fits06_090nm_4_,s05_WM_fits06_090nm_4_,ABC155,bossdb://lee2022/s05_WM_fits06_090nm_4_/s05_WM_fits06_090nm_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_WM_090nm_good_4_,s18_WM_090nm_good_4_,ABC156,bossdb://lee2022/s18_WM_090nm_good_4_/s18_WM_090nm_good_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12_fits06_090nm_,s05_l12_fits06_090nm_,ABC157,bossdb://lee2022/s05_l12_fits06_090nm_/s05_l12_fits06_090nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l22md_bin2_020nm_,s18_l22md_bin2_020nm_,ABC158,bossdb://lee2022/s18_l22md_bin2_020nm_/s18_l22md_bin2_020nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12_fits06_090nm_1_,s05_l12_fits06_090nm_1_,ABC159,bossdb://lee2022/s05_l12_fits06_090nm_1_/s05_l12_fits06_090nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l22md_bin2_020nm_1_,s18_l22md_bin2_020nm_1_,ABC160,bossdb://lee2022/s18_l22md_bin2_020nm_1_/s18_l22md_bin2_020nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l22md_bin2_020nm_2_,s18_l22md_bin2_020nm_2_,ABC161,bossdb://lee2022/s18_l22md_bin2_020nm_2_/s18_l22md_bin2_020nm_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12_fits06_090nm_2_,s05_l12_fits06_090nm_2_,ABC162,bossdb://lee2022/s05_l12_fits06_090nm_2_/s05_l12_fits06_090nm_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l22md_bin2_020nm_3_,s18_l22md_bin2_020nm_3_,ABC163,bossdb://lee2022/s18_l22md_bin2_020nm_3_/s18_l22md_bin2_020nm_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12_fits06_090nm_3_,s05_l12_fits06_090nm_3_,ABC164,bossdb://lee2022/s05_l12_fits06_090nm_3_/s05_l12_fits06_090nm_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l22md_bin2_020nm_4_,s18_l22md_bin2_020nm_4_,ABC165,bossdb://lee2022/s18_l22md_bin2_020nm_4_/s18_l22md_bin2_020nm_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12_fits06_090nm_4_,s05_l12_fits06_090nm_4_,ABC166,bossdb://lee2022/s05_l12_fits06_090nm_4_/s05_l12_fits06_090nm_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l2_bin2_020nm_,s18_l2_bin2_020nm_,ABC167,bossdb://lee2022/s18_l2_bin2_020nm_/s18_l2_bin2_020nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l2_bin2_020nm_1_,s18_l2_bin2_020nm_1_,ABC168,bossdb://lee2022/s18_l2_bin2_020nm_1_/s18_l2_bin2_020nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l2_bin2_020nm_2_,s18_l2_bin2_020nm_2_,ABC169,bossdb://lee2022/s18_l2_bin2_020nm_2_/s18_l2_bin2_020nm_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fit06_110nm_,s05_l12m200um_fit06_110nm_,ABC170,bossdb://lee2022/s05_l12m200um_fit06_110nm_/s05_l12m200um_fit06_110nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fit06_110nm_1_,s05_l12m200um_fit06_110nm_1_,ABC171,bossdb://lee2022/s05_l12m200um_fit06_110nm_1_/s05_l12m200um_fit06_110nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l2_bin2_020nm_3_,s18_l2_bin2_020nm_3_,ABC172,bossdb://lee2022/s18_l2_bin2_020nm_3_/s18_l2_bin2_020nm_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fit06_110nm_2_,s05_l12m200um_fit06_110nm_2_,ABC173,bossdb://lee2022/s05_l12m200um_fit06_110nm_2_/s05_l12m200um_fit06_110nm_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fit06_110nm_3_,s05_l12m200um_fit06_110nm_3_,ABC174,bossdb://lee2022/s05_l12m200um_fit06_110nm_3_/s05_l12m200um_fit06_110nm_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l2_bin2_020nm_4_,s18_l2_bin2_020nm_4_,ABC175,bossdb://lee2022/s18_l2_bin2_020nm_4_/s18_l2_bin2_020nm_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fit06_110nm_4_,s05_l12m200um_fit06_110nm_4_,ABC176,bossdb://lee2022/s05_l12m200um_fit06_110nm_4_/s05_l12m200um_fit06_110nm_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l5_030nm_hd_,s18_l5_030nm_hd_,ABC177,bossdb://lee2022/s18_l5_030nm_hd_/s18_l5_030nm_hd_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l5_030nm_hd_1_,s18_l5_030nm_hd_1_,ABC178,bossdb://lee2022/s18_l5_030nm_hd_1_/s18_l5_030nm_hd_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_050nm_,s05_l12m200um_fits06_050nm_,ABC179,bossdb://lee2022/s05_l12m200um_fits06_050nm_/s05_l12m200um_fits06_050nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l5_030nm_hd_2_,s18_l5_030nm_hd_2_,ABC180,bossdb://lee2022/s18_l5_030nm_hd_2_/s18_l5_030nm_hd_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_050nm_1_,s05_l12m200um_fits06_050nm_1_,ABC181,bossdb://lee2022/s05_l12m200um_fits06_050nm_1_/s05_l12m200um_fits06_050nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_050nm_2_,s05_l12m200um_fits06_050nm_2_,ABC182,bossdb://lee2022/s05_l12m200um_fits06_050nm_2_/s05_l12m200um_fits06_050nm_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l5_030nm_hd_3_,s18_l5_030nm_hd_3_,ABC183,bossdb://lee2022/s18_l5_030nm_hd_3_/s18_l5_030nm_hd_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_050nm_3_,s05_l12m200um_fits06_050nm_3_,ABC184,bossdb://lee2022/s05_l12m200um_fits06_050nm_3_/s05_l12m200um_fits06_050nm_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l5_030nm_hd_4_,s18_l5_030nm_hd_4_,ABC185,bossdb://lee2022/s18_l5_030nm_hd_4_/s18_l5_030nm_hd_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_050nm_4_,s05_l12m200um_fits06_050nm_4_,ABC186,bossdb://lee2022/s05_l12m200um_fits06_050nm_4_/s05_l12m200um_fits06_050nm_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l5_110nm_2dist_,s18_l5_110nm_2dist_,ABC187,bossdb://lee2022/s18_l5_110nm_2dist_/s18_l5_110nm_2dist_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_090nm_,s05_l12m200um_fits06_090nm_,ABC188,bossdb://lee2022/s05_l12m200um_fits06_090nm_/s05_l12m200um_fits06_090nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l5_110nm_2dist_1_,s18_l5_110nm_2dist_1_,ABC189,bossdb://lee2022/s18_l5_110nm_2dist_1_/s18_l5_110nm_2dist_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_090nm_1_,s05_l12m200um_fits06_090nm_1_,ABC190,bossdb://lee2022/s05_l12m200um_fits06_090nm_1_/s05_l12m200um_fits06_090nm_1_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s18_l5_110nm_2dist_2_,s18_l5_110nm_2dist_2_,ABC191,bossdb://lee2022/s18_l5_110nm_2dist_2_/s18_l5_110nm_2dist_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_090nm_2_,s05_l12m200um_fits06_090nm_2_,ABC192,bossdb://lee2022/s05_l12m200um_fits06_090nm_2_/s05_l12m200um_fits06_090nm_2_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_090nm_3_,s05_l12m200um_fits06_090nm_3_,ABC193,bossdb://lee2022/s05_l12m200um_fits06_090nm_3_/s05_l12m200um_fits06_090nm_3_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l4_bin2_080nm_,s05_l4_bin2_080nm_,ABC194,bossdb://lee2022/s05_l4_bin2_080nm_/s05_l4_bin2_080nm_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
s05_l12m200um_fits06_090nm_4_,s05_l12m200um_fits06_090nm_4_,ABC195,bossdb://lee2022/s05_l12m200um_fits06_090nm_4_/s05_l12m200um_fits06_090nm_4_/,XNH image dataset with 90nm voxel resolution of the whitemater of tissue,https://biccn.bossdb.org/deliveries/9q5a2podd4qsqnje,Mukul Narwani,x/x/xxxx,Image,uint8,False,Pending,CC-BY 4.0
