ID,Experiment Name,BCDCCollection,BossDBURI,SampleType,SpeciesCommonName,SpeciesTaxonomyID,Genotype,SubjectID,Age,Sex,Modality,Technique,Anntomical Structure,ParentSpecimenID,ParentSpecimenType,SubspecimenType,SubspecimenQuantity,Investigator,Description,BICCNDeliveryQuarter,Protocol,Public,Creator,Contributors,DataCreated,DateModified,License,ImageLocation,CoordinateFrame,Version,Channels
s05_WM_107nm_bin2_2dist_2_,s05_WM_107nm_bin2_2dist_2_,AAA133,bossdb://lee2022/s05_WM_107nm_bin2_2dist_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA133,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA130,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_top_fits05b_090nm_,s06_top_fits05b_090nm_,AAA134,bossdb://lee2022/s06_top_fits05b_090nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA134,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA131,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_top_fits05b_090nm_1_,s06_top_fits05b_090nm_1_,AAA135,bossdb://lee2022/s06_top_fits05b_090nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA135,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA132,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_1_,s18_WM_090nm_1_,AAA136,bossdb://lee2022/s18_WM_090nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA136,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA133,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_160nm_2dist_,s05_WM_160nm_2dist_,AAA137,bossdb://lee2022/s05_WM_160nm_2dist_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA137,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA134,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_top_fits05b_090nm_2_,s06_top_fits05b_090nm_2_,AAA138,bossdb://lee2022/s06_top_fits05b_090nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA138,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA135,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_160nm_2dist_1_,s05_WM_160nm_2dist_1_,AAA139,bossdb://lee2022/s05_WM_160nm_2dist_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA139,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA136,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_2_,s18_WM_090nm_2_,AAA140,bossdb://lee2022/s18_WM_090nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA140,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA137,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_top_fits05b_090nm_3_,s06_top_fits05b_090nm_3_,AAA141,bossdb://lee2022/s06_top_fits05b_090nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA141,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA138,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_160nm_2dist_2_,s05_WM_160nm_2dist_2_,AAA142,bossdb://lee2022/s05_WM_160nm_2dist_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA142,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA139,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_top_fits05b_090nm_4_,s06_top_fits05b_090nm_4_,AAA143,bossdb://lee2022/s06_top_fits05b_090nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA143,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA140,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_3_,s18_WM_090nm_3_,AAA144,bossdb://lee2022/s18_WM_090nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA144,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA141,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_fits06_090nm_,s05_WM_fits06_090nm_,AAA145,bossdb://lee2022/s05_WM_fits06_090nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA145,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA142,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_4_,s18_WM_090nm_4_,AAA146,bossdb://lee2022/s18_WM_090nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA146,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA143,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_fits06_090nm_1_,s05_WM_fits06_090nm_1_,AAA147,bossdb://lee2022/s05_WM_fits06_090nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA147,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA144,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s06_topm200um_fits05_090nm_1_,s06_topm200um_fits05_090nm_1_,AAA148,bossdb://lee2022/s06_topm200um_fits05_090nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA148,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA145,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_good_,s18_WM_090nm_good_,AAA149,bossdb://lee2022/s18_WM_090nm_good_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA149,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA146,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_good_1_,s18_WM_090nm_good_1_,AAA150,bossdb://lee2022/s18_WM_090nm_good_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA150,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA147,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_fits06_090nm_2_,s05_WM_fits06_090nm_2_,AAA151,bossdb://lee2022/s05_WM_fits06_090nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA151,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA148,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_good_2_,s18_WM_090nm_good_2_,AAA152,bossdb://lee2022/s18_WM_090nm_good_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA152,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA149,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_fits06_090nm_3_,s05_WM_fits06_090nm_3_,AAA153,bossdb://lee2022/s05_WM_fits06_090nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA153,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA150,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_good_3_,s18_WM_090nm_good_3_,AAA154,bossdb://lee2022/s18_WM_090nm_good_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA154,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA151,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_WM_fits06_090nm_4_,s05_WM_fits06_090nm_4_,AAA155,bossdb://lee2022/s05_WM_fits06_090nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA155,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA152,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_WM_090nm_good_4_,s18_WM_090nm_good_4_,AAA156,bossdb://lee2022/s18_WM_090nm_good_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA156,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA153,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12_fits06_090nm_,s05_l12_fits06_090nm_,AAA157,bossdb://lee2022/s05_l12_fits06_090nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA157,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA154,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l22md_bin2_020nm_,s18_l22md_bin2_020nm_,AAA158,bossdb://lee2022/s18_l22md_bin2_020nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA158,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA155,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12_fits06_090nm_1_,s05_l12_fits06_090nm_1_,AAA159,bossdb://lee2022/s05_l12_fits06_090nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA159,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA156,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l22md_bin2_020nm_1_,s18_l22md_bin2_020nm_1_,AAA160,bossdb://lee2022/s18_l22md_bin2_020nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA160,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA157,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l22md_bin2_020nm_2_,s18_l22md_bin2_020nm_2_,AAA161,bossdb://lee2022/s18_l22md_bin2_020nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA161,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA158,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12_fits06_090nm_2_,s05_l12_fits06_090nm_2_,AAA162,bossdb://lee2022/s05_l12_fits06_090nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA162,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA159,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l22md_bin2_020nm_3_,s18_l22md_bin2_020nm_3_,AAA163,bossdb://lee2022/s18_l22md_bin2_020nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA163,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA160,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12_fits06_090nm_3_,s05_l12_fits06_090nm_3_,AAA164,bossdb://lee2022/s05_l12_fits06_090nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA164,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA161,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l22md_bin2_020nm_4_,s18_l22md_bin2_020nm_4_,AAA165,bossdb://lee2022/s18_l22md_bin2_020nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA165,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA162,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12_fits06_090nm_4_,s05_l12_fits06_090nm_4_,AAA166,bossdb://lee2022/s05_l12_fits06_090nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA166,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA163,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l2_bin2_020nm_,s18_l2_bin2_020nm_,AAA167,bossdb://lee2022/s18_l2_bin2_020nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA167,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA164,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l2_bin2_020nm_1_,s18_l2_bin2_020nm_1_,AAA168,bossdb://lee2022/s18_l2_bin2_020nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA168,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA165,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l2_bin2_020nm_2_,s18_l2_bin2_020nm_2_,AAA169,bossdb://lee2022/s18_l2_bin2_020nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA169,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA166,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12m200um_fit06_110nm_,s05_l12m200um_fit06_110nm_,AAA170,bossdb://lee2022/s05_l12m200um_fit06_110nm_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA170,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA167,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12m200um_fit06_110nm_1_,s05_l12m200um_fit06_110nm_1_,AAA171,bossdb://lee2022/s05_l12m200um_fit06_110nm_1_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA171,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA168,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l2_bin2_020nm_3_,s18_l2_bin2_020nm_3_,AAA172,bossdb://lee2022/s18_l2_bin2_020nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA172,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA169,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12m200um_fit06_110nm_2_,s05_l12m200um_fit06_110nm_2_,AAA173,bossdb://lee2022/s05_l12m200um_fit06_110nm_2_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA173,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA170,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12m200um_fit06_110nm_3_,s05_l12m200um_fit06_110nm_3_,AAA174,bossdb://lee2022/s05_l12m200um_fit06_110nm_3_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA174,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA171,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l2_bin2_020nm_4_,s18_l2_bin2_020nm_4_,AAA175,bossdb://lee2022/s18_l2_bin2_020nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA175,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA172,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s05_l12m200um_fit06_110nm_4_,s05_l12m200um_fit06_110nm_4_,AAA176,bossdb://lee2022/s05_l12m200um_fit06_110nm_4_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA176,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA173,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
s18_l5_030nm_hd_,s18_l5_030nm_hd_,AAA177,bossdb://lee2022/s18_l5_030nm_hd_/,Tissue Sample,Mouse,NCBI:txid10090,Luciferase-GFAP,AAA177,30d,Male,anatomy,X-ray holographic nanotomography,VIS,AAA174,tissue sample,tissue sample,3,Mukul Narwani,X-ray holographic nanotomography,2022Q3,dx.doi.org/xyz/protocols.io.happygoodproject,True,bossadmin,,x/x/xxxx,x/x/xxxx,CC-BY 4.0,,,1,
